Name,Video Link,YouTube Link,Ingredients,Overview ,Directions,Benefits ,Category,Diet Type,Protein Type,Protein,Carbs,Fats,Calories,Meal Replacement,Gluten Free,Nut Free,Soy Free,Caffeine Free,Sugar Free
Chocolate Elvis,https://www.dropbox.com/s/cad4fklfxss1reb/chocolate%20Elvis.mov?dl=0,https://youtube.com/shorts/fELcr6qVvso,"1/2 frozen banana, 1 tablespoon cocoa powder, 1/2 cup coconut yogurt, 1 tablespoon peanut butter, 1 scoop chocolate rice protein powder, 1/4 cup ice, 1/3 cup almond milk","Enjoy this peanut butter, banana, and chocolate classic after your workout for it's energy boost and muscle building action!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,After Workout Shake,Vegan ,Rice Protein,23.4 g,44.5 g,11.9 g,356,No,Yes,No,Yes,Yes,Yes
Peanut Butter Cup,https://www.dropbox.com/s/6c63bk1id5ig8o6/Peanut%20butter%20cup.mov?dl=0,https://youtube.com/shorts/_3730k0zvnU,"1 tablespoon peanut butter, 1/2 avocado, 1/2 cup almond milk, 1 tablespoon cocoa powder, 1/2 teaspoon vanilla extract, 1 scoop chocolate whey protein",Love chocolate and peanut butter? This classic combo comes together in this post-workout shake.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,After Workout Shake,Keto ,Whey Protein,28.9 g,25.9 g,21.9 g,370,No,Yes,No,Yes,Yes,Yes
Birthday Cake Shake,https://www.dropbox.com/s/2pfgrdorr03kzdr/Bday%20cake%20shake.mov?dl=0,https://youtube.com/shorts/6D0v_icE6wU,"1 cup almond milk, 3 tablespoons coconut cream, 2 tablespoons cashew butter, 1/2 teaspoon vanilla extract, 1 scoop vanilla whey protein, 1/2 cup ice, 1 teaspoons sprinkles",Get ready for a keto birthday surprise! This colorful shake is perfect after a workout to replenish your muscles.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,After Workout Shake,Keto ,Whey Protein,27.7 g,28.6 g,29.3 g,485,Yes,Yes,No,Yes,Yes,Yes
Chocolate Coconut,https://www.dropbox.com/s/wng7ic813vyr611/Chocolate%20coconut.mov?dl=0,https://youtube.com/shorts/F_R-Ot9swsY,"1/2 cup light coconut milk, 1 tablespoon cocoa powder, 1/2 avocado, 1 tablespoon coconut flakes, 1 tablespoon cocoa nibs, 1/2 teaspoon vanilla extract, 1 scoop chocolate whey protein",Chocolate and coconut come together to provide muscle building protein in a keto-friendly shake.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,After Workout Shake,Keto ,Whey Protein,22.9 g,28.5 g,32.3 g,456,Yes,Yes,Yes,Yes,Yes,Yes
Nutty Butter ,https://www.dropbox.com/s/rsknd9yzz1jgtwy/Nutty%20butter.mov?dl=0,https://youtube.com/shorts/yermABtD8rs,"1 tablespoon peanut butter, 3/4 cup almond milk, 1 tablespoon flaxseed, 1 frozen banana, 1/2 cup ice, 1 scoop peanut butter plant-based protein",Go nuts over this nutty butter smoothie. Packed with protein for the best post-workout benefits.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency.,Muscle,After Workout Shake,Plant Based ,Plant Based ,38.6 g,38.5 g,11.8 g,382,No,Yes,No,Yes,Yes,Yes
Hawaiian Breeze Splash,https://www.dropbox.com/s/hgcyg2ieas0z4di/Hawaiian%20Breeze%20Splash%20v1.mp4?dl=0,https://youtube.com/shorts/Ju5hDF_3UPc,"1/4 cup Blueberries, 1 medium banana, 1/2 cup coconut, 1/2 cup mango, 1 cup pineapple juice, 1/4 cup  low-fat vanilla yogurt",this ia a delicious and refreshing tropical treat any time of day!,Add all the ingredients to your blender and blend until smooth.,Energy,After Workout Shake,,,7 g,92 g,15 g,499,,yes,yes,yes,yes,yes
Vanilla Bean,https://www.dropbox.com/s/7hh4x0shfrjfc9t/Vanilla%20bean.mov?dl=0,https://youtube.com/shorts/3hfr4CGRcas,"1 frozen banana, ½ cup vanilla almond milk, 1 scoop plant-based vanilla protein powder, 1 teaspoon vanilla extract, 1/2 tablespoon cashew butter, 1/2 teaspoon of maple syrup","Here's a creamy, plant-based shake packed with sweet flavor and lots of protein!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,After Workout Shake,Plant Based ,Plant Based,27.2 g,36.1 g,8.1 g,309,No,Yes,No,Yes,Yes,No
Matcha Blend Smoothie,https://www.dropbox.com/s/lpo86y3w0u5zt9b/Matcha%20Blend%20Smoothie%20v1.mp4?dl=0,https://youtube.com/shorts/hF5lZCgi_YA,"1/2 cup frozen banana chunks, 1/2 cup frozen mango, 1/2 cup spinach, 1/2 avocado, 1/2 cup oat milk, 1 tsp matcha, 1 scoop pea protein","Matcha is a green tea powder that is known for its many health benefits. Enjoy it in a delicious, creamy smoothie!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Meal Replacement Shakes,Whole30 ,Oat Protein,30.9 g,58.6 g,16.4 g,467,Yes,Yes,Yes,Yes,Yes,Yes
Mixed Berry Replenisher,https://www.dropbox.com/s/84ykialh3u6vorj/Mixed%20Berry%20Replenisher%20v1.mp4?dl=0,https://youtube.com/shorts/X7FRKIn6Uu8,"1 cup frozen mixed berries, 1/2 frozen banana, 1 cup coconut water, 1 scoop pea protein, 1/2 cup ice","Replenish your body with tons of fiber, antioxidants, protein, and energy from this mixed berry shake!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,After Workout Shake,Whole30 ,Pea Protein,25.9 g,43.4 g,2.6 g,273,No,Yes,Yes,Yes,Yes,Yes
Chocolate Fudge ,https://www.dropbox.com/s/k17wmx2ndtotwrp/Chocolate%20fudge_.mov?dl=0,https://youtube.com/shorts/4tZKvDnbXh8,"1/3 avocado, 1/2 cup light coconut milk, 2 tablespoons cocoa powder, 1 scoop chocolate whey powder, 1 cup ice","Delicious, fudgey, and perfectly sweet, this chocolate fudge shake is the perfect healthy meal replacement.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Meal Replacement Shakes,Keto ,Whey Protein,21.4 g,23.6 g,25.8 g,371,Yes,Yes,Yes,Yes,Yes,Yes
Blueberry Pie,https://www.dropbox.com/s/dm1giv1itoe64v3/Blueberry%20Pie%20-%20Smoothie%20Reel.mp4?dl=0,https://youtube.com/shorts/7yqLZhX9_KA,"1/2 cup frozen blueberries, 2 tablespoon chia seeds, 1 tablespoon almond butter, 1/2 cup almond milk, 1 scoop oat protein powder, 1/2 teaspoon cinnamon, 1/2 teaspoon vanilla extract","Get all of the classic flavors of blueberry pie in a yummy, healthy smoothie!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Meal Replacement Shakes,Vegan ,Oat Protein,33.1 g,42.3 g,19.8 g,471,Yes,Yes,No,Yes,Yes,Yes
Banana Almond Shake,https://www.dropbox.com/s/qwio4ozup8jct30/Banana%20almond%20shake.mov?dl=0,https://youtube.com/shorts/ivNFCcCoH-s,"1 frozen banana, 1 tablespoon almond butter, 1/2 cup ice, 1/2 cup almond milk, 1 scoop plant-based protein powder, 1/4 cup coconut yogurt, 1/2 teaspoon honey",Banana and almond blend together in this smoothie to give you a healthy and tasty treat.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Meal Replacement Shakes,Plant Based ,Plant Based,32.4 g,51.8 g,15.2 g,447,Yes,Yes,No,Yes,Yes,No
Golden Shake,https://www.dropbox.com/s/w3jpn1cem613qv0/Golden%20shake.mov?dl=0,https://youtube.com/shorts/6za8bxAK9R4,"½ frozen banana, ½ cup frozen pineapple chunks, 1 tbs chia seeds, 1 scoop plant-based protein powder, 1 cup coconut milk, 1 tbs turmeric","Known for its golden color, turmeric is used in the shake not only for beauty but for it's anti-inflammatory benefits",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Meal Replacement Shakes,Whole30,Plant Based,27.3 g,74.9 g,21.3 g,568,Yes,Yes,Yes,Yes,Yes,Yes
Passion fruit smoothie,https://www.dropbox.com/s/n5ve84n3p1m6698/Passion%20Fruit%20Smoothie%20v1.mp4?dl=0,https://youtube.com/shorts/ltxpq9cIuw8,"1 1/2 banana, 1/2 pc passion fruit, 50gr bok choy, 1/2 teaspoon lime juice, 1 tablespon water","This smothie is great for fast hydration and can be a great snack in between meals, before or after training. It also helps to prevent diabetes and heart diseases.","- Cut bananas and Bok Choy into smaller pieces 
  - Open passion fruit and scoop out the pulp
  - Squeeze out the juice of lime
  - Put everything into a blender, add water and and blend well together 
  - Serve with passion fruit and a lime slice on top and enjoy ☺","Hydration, Diabetes and Heart diseases prevention. Antioxidant rich.",Low Carb,"Low Carb, Low Fat ",,2.8 g,40.2 g,0.7 g,159.8,no,yes,yes,yes,yes,
Rainbow Shake,https://www.dropbox.com/s/ukjs3pq1687a805/Rainbow%20Shake%20v1.mp4?dl=0,https://youtube.com/shorts/o8iAfcjYD-E,"1/2 cup almond milk, 1/4 avocado, 1/2 frozen banana, 1/4 cup frozen blackberries, 1/4 cup frozen mango, 1/4 cup frozen raspberries, 1 scoop rice protein powder","Eat the rainbow with this colorful fruit smoothie. It's a great way to start your day, while being easy and healthy!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Weight,Weight Loss Shakes,Whole 30,Rice Protein,19.4 g,50.1 g,9.2 g,348,Yes,Yes,Yes,Yes,Yes,Yes
Citrus Fiesta,,,"½ cup coconut water, 2 tbs shredded coconut, ½ cup frozen pineapple, 1 carrot, ½ orange, peeled, ¼ avocado, 1 scoop pea protein powder, 1 cup ice","With healthy ingredients like coconut, oranges, and pineapple, this shake is a little party in a cup!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Meal Replacement Shakes,Whole30,Pea Protein,33.1 g,80.1 g,14.3 g,557,Yes,Yes,Yes,Yes,Yes,Yes
Chocolate Strawberry Smoothie,,,"1 ½ cups frozen strawberries, 1 cup chilled unsweetened chocolate almond milk, 1 tsp almond butter, 1 tsp unsweetened cocoa powder, 1 scoop chocolate pea protein powder",Turn this simple dessert into a delicious and healthy smoothie!,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Weight,Weight Loss Shakes,Plant Based ,Pea Protein,18.2 g,30.8 g,6.0 g,243,No,Yes,No,Yes,Yes,No
Tropical Fruit Shake,,,"½ cup frozen strawberries, ½ cup frozen mango, ½ cup coconut water, 1 tsp ground chia seeds, 1 tablespoon plant-based protein",This fruity drink provides an excellent source of vitamin C and potassium as well as a boost of protein!,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Weight,Weight Loss Shakes,Paleo,Plant Based ,28.3 g,57.4 g,3.4 g,352,Yes,Yes,Yes,Yes,Yes,Yes
Tropical Workout Shake,https://www.dropbox.com/s/9owa5ne435khtdi/Tropical%20Workout%20Shake%20v1.mp4?dl=0,https://youtube.com/shorts/AqJO2Ff1i3w,"1 cup almond milk, 1 cup frozen pineapple chunks, 1/2 cup frozen mango, 1 scoop pea protein, 2 tablespoons lime juice, 1 tablespoon coconut flakes","Plant-based and packed with protein, this tropical workout shake is perfect to replenish your body after you exercise.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. Top with coconut flakes and enjoy.,Muscle,After Workout Shake,Whole30 ,Oat Protein,34.2 g,53.6 g,3.2 g,348,No,Yes,Yes,Yes,Yes,Yes
Cinnamon Roll Shake,https://www.dropbox.com/s/42rlolrcsxa4f4f/Cinnamon%20Roll%20shake%20.mov?dl=0,https://youtube.com/shorts/BKX1gqi18XA,"1/2 date, 1 frozen banana, 1 scoop vanilla oat protein powder, 1 teaspoon cinnamon, 1 cup coconut water","Try this delicious cinnamon roll shake recipe! It's packed with nutrients and protein, but you'd never know it from the taste. ",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Weight,Weight Loss Shakes,Vegan ,Oat Protein,16.3 g,53.2 g,1.4 g,275,No,Yes,Yes,Yes,Yes,Yes
Creamy Coffee Shake,,,"1/4 avocado, 1 teaspoon cashew butter,1 teaspoon vanilla extract, 1/2 cup light coconut milk, 1 cup coffee, chilled, 1 scoop whey protein powder, 1/2 cup ice",This healthy creamy coffee shake recipe is perfect for those looking to stay on the go and still enjoy a delicious drink. ,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Weight Loss Shakes,Keto ,Whey Protein,26.3 g,11.2 g,19.4 g,320,Yes,Yes,No,Yes,No,Yes
PB & J Smoothie,https://www.dropbox.com/s/ie0c10djh9nmvsp/PB%20_%20J%20smoothie.mov?dl=0,https://youtube.com/shorts/ph611cgngCQ,"1 cup light coconut milk, 1/4 cup frozen strawberries, 1 tbsp peanut butter, 1 scoop vanilla whey protein powder","Here's a new, healthy, and delicious way to enjoy your favorite childhood sandwich!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Weight Loss Shakes,Keto ,Whey Protein,28.2 g,12.6 g,17.4 g,309,No,Yes,No,Yes,Yes,Yes
Basil and Honeydew Smoothie,,,"1/2 cup honeydew, 1 teaspoon lime juice, ¼ cup light coconut milk, ¼ cup frozen pineapple, 1/2 teaspoon honey, 1 scoop plant based protein powder, 2 tablespoons basil leaves","The honeydew, basil, and lime in this smoothie are the perfect combination of flavors! ",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Weight,Weight Loss Shakes,Vegan ,Plant Based,26.2 g,36.1 g,1.3 g,250,No,Yes,Yes,Yes,Yes,Yes
Lemon Sorbet Shake,https://www.dropbox.com/s/foxk7akvx6t7q27/Lemon%20sorbet.mov?dl=0,https://youtube.com/shorts/rnWHfDMaQ54,"1 frozen banana, 1 cup almond milk, 1 lemon, juice and zest, 1/4 teaspoon vanilla extract, 1 dash turmeric",This healthy lemon sorbet smoothie can be made in minutes and it's full of refreshing flavor! ,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Weight,Weight Loss Shakes,Plant Based,Pea Protein,29.2 g,38.2 g,3.2 g,290,No,Yes,Yes,Yes,Yes,Yes
